age,genre,genre_autre,niveau_etude,ville,ville_autre,quartier,logement,climatisation,vagues_intenses,conseq_sante,menace_env,vulnerable,logement_protection,crainte_futur,parcs_efficace,eau_publique,arbres_inutile,trouver_endroits_frais,difficile_comportements,acces_parcs,transport_chaud,valoriser_espaces_verts,soutenir_politiques,prefere_interieur,contre_reduction_voiture,espaces_agreables,proteger_acces_eau,municipalite_responsable,intention_frequent_parcs,intention_soutenir_initiatives,pas_intention_s_informer,intention_comportements_eco,pas_intention_transport_actif,motivation_si_municipalite,freq_parcs,freq_parcs_na,activite_verdissement,activite_verdissement_na,petition_contact,petition_contact_na,reduire_eau,reduire_eau_na,transport_alternatif,transport_alternatif_na,compost,compost_na,refroidissement_passif,refroidissement_passif_na,commentaires,id
25-34,homme,,collegial,Trois-Rivières,,res_moderate,app_petit,oui,5,3,2,4,1.0,5,5,5,5,5,2,4,3,5,5,2,4,5,5,5,5,5,4.0,5,2,5,4,,2,,4,,2,,2,,4,,3,,,42e3a605-2066-4e01-be7c-3932d8e0165f
25-34,autre,,secondaire,autre,Québec,res_moderate,app_petit,oui,4,5,3,4,1.0,4,3,4,5,3,3,2,3,5,5,2,4,5,2,4,3,4,3.0,3,5,3,,,3,,1,,3,,5,,4,,1,,,49417a72-e81e-40c4-a947-9b7c30f3e6ce
25-34,homme,,universitaire,Trois-Rivières,,res_vert,app_petit,oui,5,5,2,3,4.0,4,5,5,5,4,3,3,5,5,5,3,5,5,5,5,4,5,5.0,5,5,5,3,,1,,3,,4,,5,,2,,2,,,d6419586-4d79-404e-a81a-336ef1030816
25-34,femme,,collegial,autre,Québec,res_moderate,app_petit,oui,3,4,4,1,,5,5,2,5,2,4,3,1,5,5,3,4,4,3,2,4,4,4.0,5,3,3,4,,2,,2,,3,,2,,5,,4,,,01e99942-8081-4db9-9112-80bfe1383104
25-34,femme,,autre,Trois-Rivières,,res_moderate,app_petit,oui,5,4,4,4,2.0,5,4,5,5,4,2,4,2,5,5,2,3,5,5,4,5,5,5.0,4,3,5,4,,1,,1,,3,,3,,2,,3,,,4380d086-8301-4bd5-a373-2133e35b7b60
25-34,homme,,universitaire,Trois-Rivières,,res_moderate,maison_uni,oui,4,3,4,2,1.0,3,4,5,5,4,2,4,2,5,5,3,5,5,5,4,4,5,4.0,4,3,5,4,,1,,1,,3,,2,,5,,3,,,ba14bb45-4550-40cf-8238-0d68d10e62cf
25-34,femme,,universitaire,Trois-Rivières,,res_vert,maison_uni,oui,5,4,2,4,1.0,5,5,4,5,5,2,5,2,5,5,2,3,5,5,3,4,4,3.0,5,2,5,5,,2,,3,,,,1,,5,,4,,,9ea1644c-eda0-4683-9e7f-281db67484ea
18-24,femme,,universitaire,Trois-Rivières,,res_moderate,app_petit,non,4,2,5,1,4.0,4,5,5,5,5,3,2,5,5,5,5,4,5,5,3,5,5,3.0,5,5,5,5,,1,,1,,3,,5,,3,,5,,,abe27954-c180-4ea0-a12c-0210675e28bd
25-34,autre,Non-binaire,secondaire,Trois-Rivières,,urbain_dense,app_petit,oui,4,3,4,5,3.0,5,5,5,5,4,4,4,2,5,4,3,3,5,3,5,4,4,4.0,5,4,5,3,,2,,1,,4,,3,,3,,2,,,cc466534-2f0d-41e3-97db-ea21d9436ef3
18-24,femme,,collegial,,Rive-Sud de Montréal,banlieue,maison_uni,oui,5,2,1,1,1.0,3,5,5,5,5,5,4,3,5,5,3,5,5,5,3,5,5,3.0,5,5,3,5,,5,,4,,5,,3,,5,,3,,,84087a43-c957-432f-8bd3-7ddce8ce84c8
