,count,mean,std,min,25%,50%,75%,max
vagues_intenses,39.0,4.512820512820513,0.6013928951234736,3.0,4.0,5.0,5.0,5.0
conseq_sante,39.0,3.58974358974359,0.9095385966738333,2.0,3.0,4.0,4.0,5.0
menace_env,39.0,2.769230769230769,1.245233828423157,1.0,2.0,3.0,4.0,5.0
vulnerable,39.0,3.2564102564102564,1.2294189624189125,1.0,2.0,4.0,4.0,5.0
logement_protection,38.0,2.5526315789473686,1.3695011603372256,1.0,1.0,2.0,4.0,5.0
crainte_futur,39.0,4.0,0.9733285267845752,1.0,4.0,4.0,5.0,5.0
parcs_efficace,39.0,4.076923076923077,1.0854204953942332,1.0,3.0,4.0,5.0,5.0
eau_publique,38.0,4.2894736842105265,0.8976815403791096,2.0,4.0,5.0,5.0,5.0
arbres_inutile,39.0,4.9743589743589745,0.16012815380508716,4.0,5.0,5.0,5.0,5.0
trouver_endroits_frais,39.0,4.051282051282051,0.9444775205237176,2.0,4.0,4.0,5.0,5.0
difficile_comportements,39.0,3.2051282051282053,0.9781692669011082,2.0,2.0,3.0,4.0,5.0
acces_parcs,39.0,3.7435897435897436,1.09347222711461,1.0,3.0,4.0,4.0,5.0
transport_chaud,39.0,3.051282051282051,1.3168686532576148,1.0,2.0,3.0,4.0,5.0
valoriser_espaces_verts,39.0,4.9743589743589745,0.1601281538050872,4.0,5.0,5.0,5.0,5.0
soutenir_politiques,39.0,4.871794871794871,0.33868842842937047,4.0,5.0,5.0,5.0,5.0
prefere_interieur,39.0,2.4871794871794872,0.9966204702259603,1.0,2.0,3.0,3.0,5.0
contre_reduction_voiture,39.0,3.8461538461538463,1.1818464932482726,1.0,3.0,4.0,5.0,5.0
espaces_agreables,39.0,4.846153846153846,0.36551776819519566,4.0,5.0,5.0,5.0,5.0
proteger_acces_eau,39.0,4.564102564102564,0.7537580162747961,2.0,4.0,5.0,5.0,5.0
municipalite_responsable,39.0,3.6153846153846154,0.935143800239036,2.0,3.0,4.0,4.0,5.0
intention_frequent_parcs,39.0,3.8205128205128207,1.048100910966187,1.0,3.0,4.0,5.0,5.0
intention_soutenir_initiatives,39.0,4.282051282051282,0.9444775205237175,1.0,4.0,4.0,5.0,5.0
pas_intention_s_informer,38.0,3.736842105263158,1.1314714296070714,1.0,3.0,4.0,5.0,5.0
intention_comportements_eco,38.0,4.421052631578948,0.8263099002245488,2.0,4.0,5.0,5.0,5.0
pas_intention_transport_actif,39.0,3.641025641025641,1.202785790246947,1.0,3.0,4.0,5.0,5.0
motivation_si_municipalite,39.0,4.205128205128205,0.7670684859113119,3.0,4.0,4.0,5.0,5.0
